No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,BMP(ng/ml)
10,25,3,11,,0.5389480967463174,0.0559740704185637,9.615382218147635,-6.9902700177965125,0.6002137634928986,-7.949477845449808,0.3971264890331047,0.2184986942798999,50.93855195378973,7,0
10,25,3,12,,0.5846684747853406,0.026225013637738,4.0946371490109374,-6.458674932549577,0.5565037694801852,-7.865639909738885,0.4204373661671597,0.1718486523273855,37.312487317135385,6,0
10,25,3,13,,0.5935045306403013,0.0188327237361074,2.896666348500212,-6.267867459044624,0.2717104257894028,-3.95727175913814,0.4410154032489979,0.1125294145146406,23.292798943244925,6,0
10,25,3,14,,0.5599198949850841,0.0559364992024843,9.24902575107657,-6.869064745316829,0.4672989842100456,-6.298307094570868,0.3481932635483644,0.1584500632917054,42.13069831126056,7,0
10,25,3,15,,0.5873799946321128,0.0465937970513949,5.609109972651749,-6.024748547300494,0.7011810271306149,-8.229552739517459,0.5182917771413145,0.0108072471200585,1.4744354553918708,2,0
10,25,3,16,,0.5498627930401114,0.0477222330938017,8.182578165829986,-6.845432216406664,0.6925352231555391,-9.538162812279404,0.4195993727341581,0.1481502182312535,33.2882683667108,9,0
10,25,3,17,,0.6029144716251731,0.0087722619512956,1.0288235237389067,-6.440906634877043,0.1092656383711149,-1.1995589786152454,0.3101909362555481,0.1740616917372515,39.678852018685184,2,0
10,25,3,18,,0.6067878125042871,0.0321140193550745,4.733722650909916,-5.927930891936411,0.6672860385796241,-10.068247892229936,0.4682958275258441,0.1688767450527113,32.25481497470091,5,0
10,25,3,19,,0.5977803682764675,0.0169914601650592,2.542342437614495,-6.607578357526397,0.7716076650935993,-10.444777785458363,0.2868953463769796,0.1994935891991703,62.19427845840527,5,0
10,25,3,20,,0.5518123568919,0.0284390129315753,4.704705836219734,-7.156129376529079,0.4230629283524634,-5.396798020049848,0.341536612900373,0.0688783082550628,18.410033619195527,6,0
10,25,3,21,,0.5795971740280145,0.0300156528406479,4.727493184278445,-6.040684722070169,0.7567143903964145,-11.43550111393239,0.5591539244831019,0.1320876873736565,21.56454683151336,6,0
10,25,3,22,,0.5811863214179194,0.0093473461950517,1.3928475197305408,-6.533713359645919,0.5791741545073517,-7.676791181514615,0.4138000245300859,0.171576535507001,35.90856201884596,4,0
10,25,3,23,,0.4963001299632178,0.0605560639067222,8.627763896330775,-7.8831880858202945,0.8389916426430036,-7.525593369246327,0.4259403903546452,0.0274135510629637,4.550943815608953,2,0
10,25,3,24,,0.5646334047677327,0.0380819759229451,6.156902594154858,-6.807950519959275,0.9411296230534152,-12.619508190495612,0.3960287707994169,0.1555144536366803,35.84704805788086,6,0
10,25,3,25,,0.60317458136442,0.0156801491653059,2.122567591119031,-6.234027761515795,0.722009576085306,-9.456460138178606,0.3516092312683552,0.203774330339477,47.31987365713803,3,0
10,25,3,26,,0.579344813728097,0.03230691586692,5.35768682517366,-6.710071917479819,0.5482452530508066,-7.849945689082919,0.3047147799802226,0.1858677418868786,58.6042955229111,13,0
10,25,3,27,,0.5936096210117351,0.0154527387208476,2.3763691582964013,-6.087166426173879,0.4736873453444605,-7.103722435185084,0.4280709873995096,0.1879397005575427,40.07856036194521,6,0
10,25,3,28,,0.5600025288595283,0.0219904966580283,2.776706980273737,-6.489147165693858,0.1493655691994369,-1.6276007333456264,0.5416053577296154,0.1035575868584613,13.5202266495099,2,0
10,25,3,29,,0.5897291592679291,0.0422331820516192,6.698926749127229,-6.40917006049167,0.9919357261544236,-14.477239650144154,0.3835594682683815,0.1730019054074973,42.19123179361819,8,0
10,25,3,30,,0.5470899213771622,0.0567951782428973,9.710839566864236,-7.106216485621361,0.6799288491801531,-8.950124184097291,0.3268345835331111,0.1881198250845005,53.84068643509495,8,0
10,25,3,31,,0.5668998062458048,0.0066322077428542,1.0463977719189697,-6.681583680146767,0.5396287155689565,-7.223715504504953,0.4244578092400551,0.2003213630709031,42.212175195827214,5,0
