cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,barcode_number sum
10,8,114,500,16,1802.899906716418,7.497151706807301,0.8896656501536416,0.2693127010122947,21.404989291490775,-1.3594666382673963,3.5243346405412166,-183.313135706915,2
10,8,116,500,16,1582.3505226480836,7.366666693094532,0.8268269730141352,0.019823220523348818,1.6952922575708782,-3.185093249541592,0.37265250876180134,-8.273073826318067,2
10,8,118,500,16,1493.07168158091,7.308590808162221,0.9588491541964523,0.03821092936441724,2.8178788238763763,-0.7893445940970683,0.7387300143299552,-66.17654779738827,2
10,8,119,500,16,1002.8183461083069,6.910569660999425,0.8473774179549356,0.07245375185611506,6.046011868420003,-2.701867190996473,1.1058340673303189,-28.94082915999961,2
10,8,120,500,16,1324.9595757575755,7.189137229092711,0.8610815780577412,0.1301178919149673,10.685078634977135,-2.7781686730056174,2.7076898503180282,-68.91683262839794,2
10,8,121,500,16,1233.548587028702,7.117650324758886,0.7531043581986613,0.13559005988828873,14.700329257339058,-3.738105802484798,2.319806607730664,-50.670426780498715,3
10,8,122,500,16,1140.2894736842106,7.0390374334396215,0.8954090379384322,0.020784046822422686,1.8952347418138054,-1.8718569064246402,0.11339538568898241,-4.946261885203689,3
10,8,123,500,16,1456.777494006046,7.283982079369053,0.8093107306689099,0.15192349213728715,15.327241712236999,-3.47895474222992,2.6284349704465817,-61.68830368816188,3
10,8,124,500,16,1027.825002100311,6.935200200104167,0.7361013982401837,0.1278703105688056,14.183599111644337,-4.953549516474509,2.354043414738256,-38.801840843556775,3
10,8,125,500,16,1082.7074105955082,6.987220044844559,0.8355137149114027,0.011103710619417978,0.9397223450911429,-3.057555160997217,0.08266002079792008,-1.911640450017822,2
10,8,127,500,16,1558.1937640871524,7.351282585891029,0.8979992160465119,,0.0,-1.4906707964645158,,-0.0,1
10,8,128,500,16,1081.747561636413,6.986333125010855,0.8404498423252276,0.11154384002750348,11.493820836735242,-2.5980090783120686,1.458979294755123,-48.63389983511326,4
10,8,129,500,16,1861.7279880478088,7.529260361261995,0.917635792450238,,0.0,-1.4916661024306688,,-0.0,1
10,8,130,500,16,1439.3308817013735,7.271933619094428,0.8074574746227517,0.11653140106303932,12.498386209915878,-3.4192991546511693,2.201287594577928,-55.75326672855889,4
10,8,131,500,16,1267.4387993762994,7.144753449783863,0.9241591124984478,0.06271857871945714,5.541200037149363,-1.4509181776098412,1.2086131088716539,-68.01406766326265,3
10,8,132,500,16,1117.863758132415,7.019174784153665,0.7311684803221814,0.0772291297382392,8.62418472299442,-4.618607930988564,2.1248325158760295,-37.56366658915547,3
10,8,133,500,16,1999.883065380493,7.600843990523049,0.9697961546221642,0.03343514475624884,2.4378543340696663,-0.5470438494858472,0.642714655895586,-83.07704985238209,2
10,8,134,500,16,2307.807118782556,7.744053053417633,0.9639010590539842,0.09077073350914026,8.422836704553848,-0.5830178823873661,1.4653094784121516,-224.7980174047117,5
10,8,135,500,16,1008.5232936960416,6.916242454495936,0.7245713028894555,0.1175381891847693,13.245008353917928,-5.231717027162891,2.122147115833738,-33.119640364867415,3
10,8,136,500,16,2614.750290810392,7.868923880853567,1.0056695672268643,,0.0,0.0968568179051958,,0.0,1
10,8,137,500,16,653.936718682645,6.483010586351517,0.7564295176843939,0.11302010502916454,12.199488144632092,-4.443806833765529,2.1405279426639026,-39.3296516240416,3
10,8,138,500,16,658.3775372124493,6.489778531545813,0.7134836832663883,0.08745337031301266,8.667173845216194,-5.14736927541546,1.9548719068489753,-26.854556332028807,2
