cell_line,position,cell_label,Dox (ng/ml ),CHIR (uM),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,barcode_number sum
10,8,43,500,2,438.6862093352193,6.083784372381099,0.603940505070467,0.032424273961664675,4.383595504274736,-6.087434530174924,0.9768079756141868,-13.101748665360994,3
10,8,44,500,2,702.9067684627807,6.555224263475064,0.6171725068516334,0.005736790999824769,0.6572755223526505,-5.8171016018052635,0.39541947639320885,-4.806582595774164,2
10,8,45,500,2,733.5048664319735,6.597834232096779,0.7667059973261149,0.08291592274365106,10.012342167007787,-3.8377523650256227,1.5091935496198208,-36.407813474848446,7
10,8,47,500,2,541.2734769570707,6.293924653816328,0.6344605346558642,0.08534880583006918,12.583366984347919,-5.7559444404045905,1.3703018244117522,-22.26915146812833,8
10,8,48,500,2,1569.9883317003653,7.358823466276752,0.8380433188086501,0.091123677520555,8.878081773011786,-2.351331375705357,1.4059540526300105,-48.82156078785439,3
10,8,49,500,2,523.4626887200692,6.260465755029536,0.6652922344008808,0.08323724837698827,12.020546359533734,-5.437950036330063,1.3875251319399602,-24.514587620483265,13
10,8,50,500,2,475.8715966386555,6.165148062880198,0.7330510965413689,0.07901621244662377,10.082912240726866,-4.206271406521909,1.3193140594450385,-29.33964976881438,8
10,8,51,500,2,454.73284083277366,6.1197100834983535,0.6570615551918719,0.11763038313895988,15.50401164857197,-5.775999087514856,2.1569948041148415,-32.34093821504065,4
10,8,52,500,2,1073.602587574759,6.978775176399646,0.9375202202950776,,0.0,-1.0374244009686595,,-0.0,1
10,8,53,500,2,524.1840667241876,6.26184289501375,0.6531402605109626,0.1337028127739653,14.475017280702355,-4.817249467716852,0.7801789951572566,-11.451967802623857,2
10,8,54,500,2,434.9742848887605,6.07528691414306,0.6827953413690125,,0.0,-5.166103290489904,,-0.0,1
10,8,55,500,2,742.5841701122268,6.610136224672555,0.7877264314733504,,0.0,-3.183317465435892,,-0.0,1
11,1,1,100,2,1452.6887544125063,7.281171431685872,0.8597499358042938,0.09545464660683302,9.615138708146514,-1.81412845723936,1.2344709821549473,-58.930955330902115,4
11,1,2,100,2,737.2632606827592,6.6029450342176,0.7840514549205877,0.012247587564983653,1.3528094233846595,-3.3491737949084817,0.10313960608030599,-2.666971750992866,4
11,1,4,100,2,605.1037896462576,6.405399996451595,0.8170820047324919,0.12645231358708545,14.12766898940564,-2.8108185245600654,2.0211353690220384,-65.64051382850977,6
11,1,5,100,2,446.72996385392,6.101954304357633,0.6129125952571779,0.07197674391250868,11.071778499816237,-5.547457843512654,1.2227505057810313,-20.781054403099912,9
11,1,6,100,2,428.517667844523,6.0603319690303525,0.7071395074823116,,0.0,-3.7423142486688863,,-0.0,1
11,1,7,100,2,1608.6506490413242,7.383151000385649,0.7630948647307023,0.16250571610181147,15.058271146631078,-3.6118148944218555,2.574478251775436,-50.40211314979628,2
11,1,8,100,2,1104.4125663656962,7.00706885844626,0.8492863143175865,0.11936510536460831,13.400682491623625,-2.3082388567046803,1.9210017766442526,-79.35068429267632,11
11,1,9,100,2,436.6318717710955,6.079090441385275,0.5963041446735894,0.059409493820970896,9.223900921714346,-6.087672562277372,1.116277303136429,-16.97647095160102,7
11,1,10,100,2,670.7608651776103,6.508412687724833,0.7145105651556103,0.09553681455748314,12.379089617281958,-3.987130747216859,1.339315857113907,-31.099194359896327,7
11,1,11,100,2,1715.7324961558174,7.447595379875022,0.8812186835266264,0.13530993160455487,12.537194068394411,-1.9508687404289347,2.3743223538205647,-99.37245103883916,3
11,1,12,100,2,1366.620765259212,7.220096377064555,0.8052282257796575,0.08593068868354849,9.241871680862905,-3.0419443952447724,1.4839530084781494,-42.24735354707271,4
11,1,13,100,2,738.3727998362668,6.604448845885384,0.6889268580371269,0.09316929501650309,11.711980073889102,-4.896421676927581,1.6307947160819314,-28.843709665352655,4
11,1,14,100,2,700.5831034624728,6.551912993233727,0.7677363785848179,0.10718594313070379,13.244847693856787,-3.448993038936771,1.4520954429375663,-39.941475043243386,10
11,1,15,100,2,1726.3531920565108,7.453766481101383,0.7947781268072369,0.1216478356815639,14.17049709461065,-2.8625975176391107,1.8477093648816225,-59.75853950841873,7
11,1,16,100,2,448.5433307332293,6.1060052893923125,0.6003335147013308,0.039401102547713146,6.076344531592656,-6.0486693566750835,0.8737879143315983,-13.374353371354001,7
11,1,17,100,2,1583.9884287231316,7.367701267248655,0.8621903297097967,0.13212642368751293,14.33476438273223,-2.0543620154851854,2.085505777813305,-94.95950616172154,8
11,1,18,100,2,1200.0852620653866,7.090147884973193,0.9370636472719314,0.09580952601286069,9.699757042881044,-0.9914421195283261,1.4002650704846265,-133.98745716434505,10
11,1,19,100,2,624.7544440815565,6.437358683065603,0.663848619916,0.08484549148178852,11.66726574728947,-5.25372086302438,1.3664136492657541,-23.742397629495475,6
11,1,20,100,2,1121.947307227235,7.02282112172425,0.703557884687875,0.06917745073328745,8.794470829839268,-4.407057964624679,0.971194620825742,-19.710720475930373,5
11,1,21,100,2,955.8532726913188,6.8626044208236605,0.685983298752878,0.12569557114665683,15.868543440357689,-4.928131721121563,1.7893032159885836,-31.443600289292757,4
