No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,BMP(ng/ml)
5,14,5,5,7.95018227788829,1.0911130303854704,0.11675733190254832,8.73712985198201,1.007737083548068,1.3200741762683117,106.95607704533279,6.895856957766227,4.845144739359194,57.368419008914884,3,64
5,14,5,6,8.411622045291873,1.1801040870569903,0.02166342572896494,1.2980511977451081,2.1729472596080397,0.40644335194112974,13.226223004492288,10.30268518355706,1.033190103353565,7.091119599598403,2,64
5,14,5,8,8.059770814419084,0.9470324416140207,0.08922394491678484,8.159192814145632,-0.8609138125677231,1.388961337279119,-139.72081588172912,3.805785174797421,2.714367757922377,61.76679254365204,4,64
5,14,5,9,8.476707432721032,1.0022656828004073,0.05543365655973002,4.94692880085839,0.034456581958785336,0.8477772379191103,2200.6681173793013,5.131059789769552,2.019238361512176,35.198609442197174,5,64
5,14,5,11,8.594476178397082,1.0765235032466507,0.10814364324931831,8.985090874864344,1.0729177137238177,1.4887833912809092,124.11094808464358,6.708412690072381,4.069181278075685,54.25406200195197,5,64
5,14,5,13,8.18859752728195,1.2299029391839107,,0.0,2.9385192751725766,,0.0,11.978379898677758,,0.0,1,64
5,14,5,14,7.946258591114931,0.9288324881347693,0.1014744942947558,8.92018514656181,-1.126038068416519,1.5059359645850772,-109.1962697059536,2.959814744976978,2.60589923589672,71.88651992367838,3,64
5,14,5,16,7.06057210164753,1.446064784550993,,0.0,4.454966769799025,,0.0,11.992982886055074,,0.0,1,64
5,14,5,17,7.951623409763746,0.9265701380725132,0.14335897778228054,10.940359630485844,-0.993822248202394,1.9530768655317767,-138.961861469098,3.3848560647466,3.743219732669247,78.19700471192328,2,64
5,14,5,18,8.434270381457848,1.0792754752783054,0.037265457715453254,2.4415136318948303,1.1697064687615395,0.4429792305534391,26.778822398133862,8.11892033414684,1.3920773249058218,12.1241159644951,2,64
