No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,CHIR(uM)
6,10,1,91,9.582607794,1.463402791,0.205792789,11.48208202,4.984540255,1.870141923,30.63400851,11.98728783,0.00850767,0.057948748,3,3
6,10,1,92,8.437388811,0.852929486,0.007227036,0.599145222,-1.869944564,0.317832493,-12.01861892,0.922883129,0.213662191,16.37065184,2,3
6,10,1,93,7.747241423,0.600341028,0.024163435,3.600026058,-6.59253787,0.52458899,-7.117238698,0.191185758,0.100353197,46.94838629,5,3
6,10,1,94,9.384270132,1.263084711,0.053532334,2.996875492,3.282241342,0.485783965,10.46544419,11.95232111,0.05166642,0.305661765,2,3
6,10,1,95,7.282959323,0.592608958,0.019290241,2.911484237,-6.393451325,0.79915038,-11.17990571,0.356346628,0.331196583,83.13007786,5,3
6,10,1,96,9.594511029,1.127046584,0.336880061,21.13578794,1.026478506,3.203099196,220.6508124,6.334171728,7.253127421,80.96931698,2,3
6,10,1,97,7.895700964,0.883431318,0.018850904,1.508844176,-1.866415026,0.272895103,-10.33885685,1.491296642,0.536476727,25.43734902,2,3
6,10,1,98,9.567745957,1.524961302,0.287215496,16.31096579,4.99253503,1.982363748,34.38688672,11.6911141,0.518623309,3.841729345,4,3
6,10,1,99,7.672967699,0.541877143,,0,-7.582440621,,0,0.213748117,,0,1,3
6,10,1,100,6.93374406,0.567346166,0.016834036,2.569630941,-6.817802356,0.331958804,-4.216677778,0.388080197,0.157824253,35.21947619,4,3
6,10,1,101,8.111252319,0.629265425,0.03804666,4.275310622,-5.916955391,0.862526119,-10.30763336,0.397354099,0.153984808,27.40218412,2,3
6,10,1,102,8.093479384,0.565535456,,0,-6.927034308,,0,0.435806181,,0,1,3
6,10,1,103,8.416075747,0.930277245,0.622005636,47.27885213,-2.228276702,7.525624998,-238.8132706,6.053075018,7.78353041,90.92547372,2,3
6,10,1,104,9.556092536,1.337249521,0.141953126,9.494618166,4.080499111,1.343254137,29.44353109,11.23331872,0.851568501,6.780418516,5,3
6,10,1,105,7.562245426,0.599245441,0.061854027,8.427865744,-6.014800932,0.561672036,-7.6245798,0.479240005,0.330062771,56.23385387,3,3
6,10,1,106,7.755796534,0.692640532,,0,-4.357707694,,0,0.719734602,,0,1,3
6,10,1,107,9.295460482,1.342406185,0.231604772,15.97313505,3.710071227,2.341841125,58.43886685,10.35713865,3.767851217,33.68065744,7,3
6,10,1,108,8.534717524,0.565955835,0.045580738,7.203504044,-6.663555559,0.993972366,-13.34176482,0.478320963,0.186535826,34.88091216,5,3
6,10,1,109,7.800186235,0.588559506,0.027612644,4.388555955,-6.78515888,0.712860702,-9.827627326,0.236834292,0.226991665,89.65393432,8,3
6,10,1,110,8.174775854,0.620187342,0.096073586,13.85562425,-6.322314126,1.667447201,-23.58962377,0.299633113,0.163951632,48.94078505,5,3
6,10,1,111,7.251535601,0.570813636,0.012390029,1.772280016,-7.275352464,0.183887154,-2.063724518,0.153237487,0.078614766,41.88837143,3,3
6,10,1,112,6.611054663,0.59393774,0.044001651,6.858902953,-6.474981509,0.770174,-11.0122719,0.341691897,0.200916672,54.43871948,7,3
6,10,1,113,6.636127579,0.634472056,0.023922585,3.265323718,-5.940569328,0.334155683,-4.871373333,0.313778253,0.103577491,28.58730262,4,3
