cell_line,position,cell_label,Dox (ng/ml ),CHIR (uM),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
17,2,18,500,5,15537.85780552304,9.651034764066962,3,1.3032027804828668,0.05882807324824838,4.282465582710536,11.72400907469515,0.6979518705622361,5.6476865398769265,10
17,2,19,500,5,14527.150155034818,9.583774602092255,3,1.3033876843740917,0.06438248735688896,4.418136522738688,11.92628703363847,0.10957979963168214,0.8218077604409119,5
17,2,21,500,5,13131.13740127664,9.482741589689464,3,1.2753799134400938,0.024073053980253344,1.7475041752627516,11.731324637560538,0.4323331616580919,3.4119141974789797,7
17,2,22,500,5,7666.615577086883,8.944630542362741,3,0.8749174783195525,0.0677204634563424,7.166043402655063,1.2833853369307728,1.795724057270481,129.54156308518003,7
17,2,23,500,5,11640.946440484133,9.362284027299948,3,1.3848491693886702,0.016323187510588186,1.1025708877676839,11.773928467997678,0.34342178548686253,2.728415294730727,8
17,2,24,500,5,14639.269585997548,9.591462894603838,3,1.3649096915444527,0.04166564731680717,2.8554742123862353,11.95411350555077,0.07029497429849232,0.5500610934363883,8
17,2,25,500,5,15351.259387637205,9.638952794447064,3,1.3654145845351224,0.018858421909709426,1.1961108833954504,11.98825504397086,0.0063674579151046925,0.04599818982648568,4
17,2,26,500,5,11622.193290734824,9.360671763948725,3,1.3535097366427558,0.023242578713640223,1.487145830616554,11.990618566083963,0.002659254827588775,0.01920653403438624,4
17,3,2,500,5,3452.667651221463,8.146902443473476,3,1.2860517800907971,,0.0,11.959718465770491,,0.0,1
17,3,3,500,5,3619.5794800065823,8.194113132328017,3,1.3587364320839244,,0.0,11.993211769045104,,0.0,1
17,3,4,500,5,13061.999785343236,9.47746251402892,3,1.3332525136141233,0.03889829542698016,2.781773827263355,11.85001704759083,0.45985040623766515,3.699996018876116,11
17,3,5,500,5,15527.425277750466,9.650363112169456,3,1.341217393826,0.04348851973217949,3.001940316517426,11.889094622986434,0.14760680508585156,1.1494344299983676,7
17,3,6,500,5,11508.773900069144,9.350864971286692,3,1.3198143535843683,0.04178276820383298,2.9309672623418157,11.963576353667568,0.06167627872227656,0.47729154587418127,7
17,3,7,500,5,5959.991046446558,8.6928242577842,3,1.3174401839881138,0.08114842175550187,4.355461447380524,11.986732298581892,0.010082460087392256,0.05947722633032176,2
17,3,8,500,5,14847.22787351514,9.6055684516207,3,1.314976930441287,,0.0,11.97919247260552,,0.0,1
17,3,9,500,5,15836.21935033182,9.670054959502396,3,1.3502611175665664,0.013092094911955869,0.8976726397530381,11.979054820017234,0.018388721324078396,0.142120126059524,7
17,3,11,500,5,14243.949172301236,9.564087476032782,3,1.3776170170156887,0.01178385137020449,0.765074541765221,11.991140996411161,0.0008018730618600999,0.0059812245596353565,5
17,3,13,500,5,12265.486120715204,9.414544590698444,3,1.3432445758153009,,0.0,11.988443167775864,,0.0,1
17,3,14,500,5,22091.603490008445,10.002952882734371,3,1.3732875111725933,0.02257066067337975,1.55920800506791,11.726265125694978,0.5402437577084654,4.370703069735471,10
17,3,15,500,5,10921.106841611996,9.298452603284383,3,1.3605333082447881,0.02430877245129474,1.6713133271822298,11.990220102352128,0.0030979000431342043,0.02416819808338512,8
17,3,16,500,5,11442.40780730897,9.345081715454391,3,1.2770290764583743,0.029196997617051367,1.616673839765734,11.932582321151378,0.06425759101729818,0.38078076587414733,2
17,3,17,500,5,8595.674368231046,9.059014375266257,3,1.325510150061197,0.06382450666180849,4.567995459980144,11.64458813484553,0.6906218377531445,5.626488418124302,10
17,3,19,500,5,3857.17746936365,8.257690969429614,3,1.3423499549033038,,0.0,11.991852857560218,,0.0,1
17,3,20,500,5,16085.91398122304,9.685699260018598,3,1.3843601036139652,0.05050431710978001,3.1594396215026364,11.96580023853623,0.050980223563250195,0.36896962857693144,4
17,3,21,500,5,3592.895369458128,8.186713666026584,3,1.3660094918816525,0.01386935004048651,0.7179387495154822,11.992022188179519,0.00231054670171958,0.013624084540504892,2
17,3,22,500,5,9501.84122562674,9.159240872033145,3,1.3699706438044879,0.015351262955381268,0.7923514408588362,11.988850347440323,0.004146650428845791,0.024457095988969713,2
17,3,24,500,5,12045.167953847586,9.396418858816231,3,1.3552650891650782,0.03136442482058964,1.8895894119542906,11.990399347417393,0.0019855445888446307,0.01352073705885845,3
17,3,25,500,5,8172.953752434628,9.008585658921216,3,1.304292845565635,0.06447359996376792,4.42131850261255,11.980843285507216,0.009509067651235091,0.07098973307339017,5
17,3,26,500,5,11540.864144964848,9.353649419837806,3,1.3608369074973965,0.008788394825195405,0.5273000965127556,11.953330894121,0.058119743299954084,0.3969987287154333,3
17,3,27,500,5,20346.02678685318,9.920640927918893,3,1.3591913456447418,0.027412929932348878,1.9133574430693738,11.915954249079025,0.21561565561262716,1.7166142719431878,10
17,3,28,500,5,9068.41346553876,9.112552606699412,3,1.341985173867977,0.010580784772507136,0.682811448546459,11.989389894193359,0.003970770612749122,0.028681928384923807,4
17,3,29,500,5,8252.525907990315,9.018274603133548,3,1.3524939939085978,0.07141381791909039,4.311230839068186,11.973969440177358,0.022290929829636066,0.15200028764503098,3
17,3,30,500,5,12244.34191733391,9.412819224972193,3,1.3184412391512492,0.046357818365269185,3.3356729682926036,11.96308926262737,0.04869025218328431,0.3861178999010886,10
17,3,32,500,5,19888.814037839427,9.897912744019004,3,1.3756040030844479,0.012260698454111844,0.7718846634346146,11.852422457985123,0.09338512035705585,0.6823405666762393,4
17,3,33,500,5,22750.20425841433,10.03232940273063,3,1.3699122689108987,0.02936296898820799,1.5156265812436978,11.987711963757715,0.006974166202702017,0.04113779368374805,2
17,3,34,500,5,18808.519755600813,9.842065224653089,3,1.3148264675036434,,0.0,11.990240746590644,,0.0,1
17,3,35,500,5,14968.703664666777,9.61371687811742,3,1.3633411439830423,0.04052312812344502,2.426905085885138,11.878516930157081,0.19331107263915567,1.3287671414991624,3
17,3,37,500,5,11772.800895033364,9.373547140935983,3,1.3114165561919644,0.07694007046310702,5.247553935073167,11.690269333951324,0.40635768753349955,3.109058949961422,5
17,3,39,500,5,17026.421466364325,9.742521620417213,3,1.296968650535337,0.06205771135192777,4.279679730229226,11.903484440796046,0.13928283356449672,1.0465704743784279,5
17,3,40,500,5,14064.18451915559,9.551386739801606,3,1.2626477242590266,0.08735610895768793,5.64892035337561,11.207639635306263,1.3396243065824243,9.759402529383127,3
17,3,41,500,5,5328.542093656765,8.580832951349572,3,1.3466503746250547,0.0317705316328952,2.1842192539680996,11.97436210616522,0.02051145642418606,0.15858814410951963,7
17,3,42,500,5,13677.834373592434,9.523531872620875,3,1.2906855155900223,0.051534970026353745,3.644944907549504,11.96924393727535,0.01702001872180619,0.12980836873721957,6
17,4,1,500,5,10168.60601938446,9.227060411740808,3,1.3713679848520288,0.0006255263892578944,0.03225348385999539,11.992682169559073,0.0009282925456824476,0.005473354039541891,2
17,4,3,500,5,4756.22183175928,8.467208899229101,3,1.3571981566782965,,0.0,11.981983035394736,,0.0,1
17,4,4,500,5,5008.772878099895,8.518946229566556,3,1.307181748561891,0.08828065414758546,4.775452936366214,11.987957535901302,0.008227863099783942,0.048531851861405295,2
17,4,5,500,5,4928.158974358975,8.502720764100292,3,1.3745321700949484,0.0003142855435032428,0.016167932906560597,11.947771547658599,0.0568885843034061,0.3366845739607749,2
17,4,6,500,5,4447.0168694690265,8.399988783952798,3,1.4025646988275704,0.007319853032382796,0.36903236769137915,11.990242027046765,0.0004196622635168586,0.002474896100278304,2
17,4,7,500,5,7354.906556114026,8.903122928143686,3,1.3496195028742055,0.04270568032664989,2.8302141168647705,11.989225871746534,0.0039399270475413565,0.02939287256387104,5
17,4,8,500,5,4135.516052814454,8.327367400835092,3,1.337969792200232,,0.0,11.9867861298369,,0.0,1
17,4,9,500,5,4865.831353639892,8.489992864633509,3,1.3169863514605036,,0.0,11.987263624546015,,0.0,1
17,4,10,500,5,9195.675999650011,9.126488652514452,3,1.3369414895252851,,0.0,11.987275325827568,,0.0,1
17,4,11,500,5,10278.103379984155,9.237771025877164,3,1.3147881475729368,0.022446326736498726,1.393939325401562,11.97453742747814,0.02034784932587042,0.1387439765788486,3
17,4,13,500,5,7971.334619526202,8.98360721316369,3,1.323802616343506,,0.0,11.991433044646328,,0.0,1
17,4,14,500,5,8509.635751475182,9.048954418239523,3,1.3440505614666183,0.03201165157950747,1.9446741673167782,11.989728678227726,0.0013077206971732647,0.008905534951669746,3
17,4,15,500,5,8209.300669112887,9.013023018442402,3,1.3711646470619563,0.02633223244512935,1.3579477975623528,11.988953271356323,0.004557543026575051,0.026880324801500342,2
17,4,16,500,5,9072.933718620192,9.11305094379964,3,1.0999563091452362,0.09401322853348522,7.64466617582131,8.127071359540116,3.2500480591609096,35.76849799353201,5
17,4,17,500,5,8741.49165467626,9.07583612395856,3,1.1797140392723025,0.05131347626985976,3.551477437337316,10.651719169559556,1.1480721826211058,8.800429271992586,3
17,4,18,500,5,17798.35030499191,9.78686105249033,3,1.3118902891177564,0.10704358102415522,7.066327211044341,11.525941183609357,0.872458959185462,6.55540064258191,4
17,4,19,500,5,5296.54660711713,8.57481030360458,3,1.1752389525627494,0.05886861523388254,4.337987280542578,10.446163355167545,1.1153838988004354,9.246943193315738,4
17,4,20,500,5,7066.044518180562,8.863056128236147,3,1.1588444333959445,,0.0,9.962450982090402,,0.0,1
17,4,22,500,5,16417.341981802674,9.706093493033435,3,1.2857538190447129,0.06532276128681636,4.14821332493268,11.955299209152608,0.05926212702111515,0.4047353666748992,3
17,4,23,500,5,13013.008671171172,9.473704803123356,3,1.3554827703184025,0.030519212159365892,1.8383732295525008,11.956471826754614,0.04576031399299167,0.3124930201721438,3
17,4,24,500,5,14898.929622980251,9.609044651969246,3,1.2895991843954775,,0.0,11.978581313721406,,0.0,1
17,4,25,500,5,13933.666160977666,9.542063216710952,3,1.3589893475568768,0.01933823969116518,1.2727581299255208,11.987564777096239,0.00830600246089765,0.06197350827862432,5
17,4,27,500,5,15188.559944595496,9.628297788238305,3,1.3634218360895685,0.033576547389847146,2.336291591625718,11.977146686907883,0.016288999985281417,0.12902156608696524,10
17,4,28,500,5,9289.465387823186,9.136636283093129,3,1.3380047451353256,,0.0,11.991451842306644,,0.0,1
17,4,29,500,5,10732.99970335212,9.281078358842665,3,1.3964499377515964,,0.0,11.986343003703036,,0.0,1
17,4,31,500,5,11003.748613518195,9.305991276774265,3,1.3653512770246337,0.02104107477495955,1.4068017369509027,11.987642149123197,0.006753510571453385,0.05142865789506851,6
17,4,32,500,5,7505.365379804886,8.923373427733244,3,1.3652156402279292,0.031694683155011755,1.8955687048336236,11.820419124571153,0.2675916731632199,1.8483920402477705,3
17,4,33,500,5,10966.657151179726,9.302614780411396,3,1.329236507757989,0.061275105956131594,4.413544702589791,11.740309936350968,0.6011749495767464,4.902606458852348,12
17,4,35,500,5,10282.276707113966,9.238176984052007,3,1.3640855797130287,0.04669557751225771,3.3145133402216294,11.697454773632913,0.612411402986226,5.069177891030519,16
17,4,36,500,5,16758.438313050778,9.726657190282358,3,1.3235138767191996,0.04383414589845105,2.7041975821735744,11.954550693555367,0.03145734021803769,0.21485383592839183,3
17,4,38,500,5,12955.285934566908,9.469259164120214,3,1.3577195967553515,0.04279832084488026,2.8194320818731717,11.980305431539856,0.023269428411909997,0.17372519932459787,5
17,4,39,500,5,13826.105263157897,9.534313769897167,3,1.3773635806730469,,0.0,11.990263843547304,,0.0,1
17,4,40,500,5,8823.198790479906,9.085139757907866,3,1.2773322043744912,0.09984300847290664,6.769310398006036,11.67624868650431,0.604818243522379,4.485926752896846,4
17,5,1,500,5,4631.863931965983,8.440714643166347,3,1.347459762092873,,0.0,11.9742142187406,,0.0,1
17,5,2,500,5,8460.696188340808,9.04318674098054,3,1.3902628837856055,0.022444918873085504,1.1415793749110992,11.319404396554972,0.949120614103996,5.929018867822518,2
17,5,3,500,5,3698.1814037717,8.21559646530632,3,1.102001399462897,,0.0,8.178953664697588,,0.0,1
17,5,4,500,5,6779.1096171802055,8.821601047410898,3,1.3530052403173494,,0.0,11.993844240234155,,0.0,1
17,5,5,500,5,2782.6528314028315,7.931160007572263,3,1.279609506670993,,0.0,11.98142300288174,,0.0,1
17,5,6,500,5,11097.507414571244,9.31447580483784,3,1.4003513395538976,0.009237117852621792,0.46642785190529334,11.983365100047315,0.002498544528563582,0.014743252537944274,2
17,5,7,500,5,12345.302750934874,9.421030925653122,3,1.375325830634266,0.03783338254317764,2.642947393511877,11.978723504694454,0.032032149659362644,0.25691797554314116,13
17,5,8,500,5,5935.835923886527,8.688763143610505,3,1.3070033862606614,0.057548619516204484,4.076475181498824,11.984350191557905,0.01101861085907866,0.08512143955951179,7
17,5,9,500,5,3749.888597640891,8.229481411227423,3,1.337251327490803,,0.0,11.99186771808499,,0.0,1
17,5,10,500,5,8147.796565850257,9.005502809662676,3,1.3113426511037056,0.0465834863399361,3.322919559178602,11.952382717977887,0.09386783902440192,0.734626102496446,8
17,5,11,500,5,3946.414851222104,8.280562813145293,3,1.3120576672595698,0.07862538672388762,4.89287636024873,11.982170435435634,0.01838571100813865,0.1252850663154926,3
17,5,12,500,5,3728.437463022128,8.223744514152326,3,1.3009212572307602,0.04628400184376541,2.5157350133430767,11.977270166105633,0.018354774501754358,0.10836179978697472,2
