cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
12,2,34,500,256,7168.2140798323,8.877411820256818,5,1.2332654484904833,0.0853844223806599,5.652967009140659,11.347619888968673,1.0949948539158754,7.878828891906283,3
12,2,35,500,256,5553.946022174674,8.622263949089715,5,1.0960989249235649,,0.0,8.657542562847084,,0.0,1
12,2,36,500,256,4377.846940763835,8.384312316476645,5,1.0359121610971975,,0.0,5.78054045116005,,0.0,1
12,2,37,500,256,7659.555259740259,8.943709200962957,5,1.1979912455597994,0.036233000446262965,2.4694772262131486,11.183489917964067,0.6318661368879891,4.613198063909688,3
12,2,38,500,256,10837.410745571346,9.290759385352125,5,1.3043839616333512,,0.0,11.991720146130945,,0.0,1
12,2,39,500,256,12552.953262786596,9.437711236620531,5,1.3456525295073885,0.024348685485949668,1.6184063780351114,11.98836524826551,0.005251517800819464,0.03918049056565834,5
12,2,40,500,256,5931.33072343202,8.688003872117177,5,1.1053244594445952,0.06003844621853823,4.704032303340712,8.420860588680846,2.304635649228057,23.701532612730258,4
12,2,41,500,256,7334.676018156601,8.900368520297786,5,1.2165881135902632,0.11542218421611618,7.746403053170789,10.758342329040824,2.107651517185199,15.995868182438452,3
12,2,42,500,256,9819.281972694343,9.192103279804966,5,1.2798188271290163,0.049013041372462124,3.1269254564146407,11.985847066735493,0.01008931246695059,0.06873013719689021,3
12,2,43,500,256,13096.349483864968,9.48008880500102,5,1.3370330163988149,0.014954133144315544,0.7908682002178717,11.985400312726288,0.008485364872282767,0.05006139874745665,2
12,2,44,500,256,2323.177024176537,7.750690934850399,5,0.9930821712541045,0.07983042103896013,6.563531973393315,4.621471250921053,3.29448213052473,58.205130995131306,3
12,2,45,500,256,9448.224050080067,9.153582071618048,5,1.1771942738689019,0.0645038933437042,4.473960631711884,10.824387249604984,1.8960851340331162,14.302398772202329,3
12,2,47,500,256,6300.548206178225,8.748391925447564,5,1.1111948855552125,0.14597111708110921,9.288844656070836,8.440872438869915,4.923054017054101,41.24129235238969,2
12,2,48,500,256,7114.052140546234,8.869827281768332,5,1.206558233935167,0.011412774644853435,0.6688488061789924,11.801373871634269,0.24300190594001578,1.4560024739530242,2
12,2,50,500,256,7249.971360652026,8.888752797586026,5,1.209790449542364,0.02461915786742167,1.438957753530059,11.72284459872094,0.3521163336531968,2.1239200536692824,2
12,2,51,500,256,6261.365873779733,8.742153630993654,5,1.2081787923719471,0.07779587748492321,5.878069985506295,11.090868262134506,1.0588283097562614,8.715039797779212,6
12,2,53,500,256,2569.235774596182,7.851363769697476,5,0.9323059493912784,,0.0,1.9522939637281524,,0.0,1
12,2,55,500,256,7119.654763375756,8.870614514940504,5,1.1864032376444351,0.06238629239267459,3.7182779854456047,10.888612789398223,1.515972647129552,9.844730082810402,2
12,2,56,500,256,3261.4447880299253,8.089925562694864,5,0.9638973536741787,0.09432781802159453,7.990305254747978,4.1239662280868,3.3898481669553715,67.11498797765917,3
12,2,57,500,256,9132.227508967131,9.11956492071727,5,1.178228380603594,0.09353546668397031,6.8750754638632765,10.255973595389214,2.0046544323547004,16.927516905939925,4
12,2,58,500,256,15901.943919400856,9.674196639817104,5,1.3299347796877552,0.015376683279442875,0.9440319567115406,11.990055540106185,0.0029184454483629474,0.019873975748004626,3
12,2,59,500,256,11763.999145830096,9.372799227065086,5,1.3180306891277225,,0.0,11.992840706179194,,0.0,1
12,2,60,500,256,5105.753469387755,8.538123314103036,5,1.0288894205508792,,0.0,6.032219169940618,,0.0,1
12,2,61,500,256,6593.144355438104,8.793785654131922,5,1.2100138827248628,0.1644384023823889,9.609435980207548,9.664359643577685,3.2910659876915376,24.0795579123088,2
12,2,62,500,256,7741.152750668691,8.954305889689097,5,1.1007028512009873,0.15980108620547065,10.26584346298121,8.01852620480055,5.400965946869739,47.62794993053476,2
12,2,63,500,256,8500.462073578596,9.047875802598352,5,1.1521600782156025,0.03271383485065286,2.318317984594667,9.816659725403534,0.45865222666178934,3.8148207779387553,3
12,2,64,500,256,5013.048186736125,8.519799429572407,5,1.1070886856840203,,0.0,9.249314683370358,,0.0,1
12,2,65,500,256,16318.137813380805,9.70003251743542,5,1.2969297987539086,0.05313730365880911,2.8971304219560343,11.979402189195799,0.0009624331959619842,0.005680943243711985,2
12,2,67,500,256,15310.38464708913,9.636286612247895,5,1.3542792118245863,0.028686692436016844,1.4978118673173328,11.751401176444197,0.3055127069206107,1.8383348807396405,2
12,2,68,500,256,2133.689206505668,7.665607782317019,5,1.0472240443794782,,0.0,6.990233964617694,,0.0,1
12,2,69,500,256,7166.832560194389,8.877219073113835,5,1.1885311702976926,0.04844259188523711,3.327906884904529,11.358818831452217,0.8010287958998027,5.757969052784196,3
12,2,70,500,256,14498.894929921926,9.581827713774882,5,1.3008732130672878,0.05096079120788861,3.198567805428439,11.964787180068981,0.020007241015434014,0.1365326740630259,3
12,2,71,500,256,6816.1927332782825,8.827056344705369,5,1.1807153047072287,0.08658295540995972,6.558918080172068,10.526105725699557,1.3802591694661037,11.72837670424783,5
12,2,73,500,256,7412.642820838628,8.910942310687126,5,1.3290889123167773,0.02073998813056858,1.1034164917747982,11.992619286985168,0.00043086087017343096,0.00254043454358431,2
12,2,74,500,256,11085.411814345993,9.313385271955385,5,1.3197685712708502,0.007523873746106758,0.4031147780357079,11.986299614480858,0.009548596315516846,0.0563299552211909,2
12,2,76,500,256,6665.346588084925,8.804677232473836,5,1.1159151624791879,0.0740059941482828,5.414895614106074,8.15033988914873,1.764899291581163,17.68066432635971,3
12,2,77,500,256,4543.906028061667,8.421542279742969,5,0.9825623071199219,0.11078752561746667,7.9728898683905856,4.151629270788055,2.7766225020099515,47.29152031423345,2
12,2,78,500,256,9889.718642477324,9.199250975524253,5,1.2214879248425323,0.0404531779226487,2.704069421378987,11.75922951783368,0.27582806601075677,1.9151992269573388,3
12,2,79,500,256,3691.8098630643967,8.213872094584886,5,1.1684532749652148,0.006409156633435497,0.3878595930439667,10.924660065484886,0.6262610529018087,4.053521433577358,2
12,2,80,500,256,13673.871198568871,9.52324207898875,5,1.3422764521433843,,0.0,11.98388757951905,,0.0,1
12,2,81,500,256,12364.165415124273,9.422557681933482,5,1.2430739040415617,0.06776546299836418,4.4510844176887066,11.576131264589852,0.6872615227068738,4.84744575426363,3
12,2,83,500,256,3219.8855631940773,8.077101098526194,5,1.2798764653976695,0.06542318332630326,3.614503260864784,11.9554950448978,0.021873347991048862,0.1293697386318143,2
12,2,84,500,256,8015.705281918341,8.989158056421,5,1.2188389098300163,0.030336188414567703,2.0322122898364214,11.287553169080269,0.6294196839148096,4.552970977738722,3
12,2,85,500,256,7987.096508111081,8.985582581993391,5,1.2103613434091454,0.11220742841232499,8.028551475767747,10.653190031623739,2.493665310454702,20.271651035784842,4
